QueryId	SubjectId	id%	Aln	Mm	Gaps	qstart	qend	sstart	send	evalue	Score	Description
afi132	Sacu_v1.1_s0043.g012908	50.70	71	35	0	0	0	0	0	6e-19	83.2	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0006.g003429	60.00	60	24	0	0	0	0	0	5e-18	77.0	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0932.g027847	62.07	58	22	0	0	0	0	0	8e-18	76.3	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0087.g018504	53.33	60	28	0	0	0	0	0	3e-16	72.8	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0027.g009704	61.82	55	21	0	0	0	0	0	5e-16	73.6	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0004.g002217	57.14	56	24	0	0	0	0	0	1e-15	72.0	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0033.g011014	54.55	55	25	0	0	0	0	0	1e-15	73.6	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0004.g002164	57.89	57	24	0	0	0	0	0	1e-15	72.4	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0239.g026597	55.36	56	25	0	0	0	0	0	8e-15	68.6	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0050.g013783	46.97	66	35	0	0	0	0	0	7e-14	69.7	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0207.g025791	56.60	53	23	0	0	0	0	0	9e-12	63.5	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0007.g003739	50.88	57	28	0	0	0	0	0	1e-11	62.0	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0003.g001660	50.88	57	28	0	0	0	0	0	2e-11	61.6	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0006.g003070	53.06	49	23	0	0	0	0	0	4e-11	62.0	MADS-box transcription factor [0.179]

