Model selection results for subset: 7b94f041db0d8877af5c532b66ad8a60
Subset alignment stored here: ./analysis/phylofiles/7b94f041db0d8877af5c532b66ad8a60.phy
This subset contains the following data_blocks: M, I, K, C
Number of columns in subset: 182
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HIVW+I+G+F      | 21              | -26517.7        | 53083.17         | 53077.4         | 53144.684      
HIVW+G+F        | 20              | -26525.727      | 53096.67         | 53091.453       | 53155.535      
MTREV+I+G       | 2               | -26808.947      | 53621.96         | 53621.895       | 53628.3        
MTREV+G         | 1               | -26812.547      | 53627.117        | 53627.094       | 53630.297      
HIVW+I+G        | 2               | -26864.723      | 53733.51         | 53733.445       | 53739.85       
HIVW+G          | 1               | -26869.982      | 53741.99         | 53741.965       | 53745.168      
MTART+G         | 1               | -26992.994      | 53988.01         | 53987.99        | 53991.19       
MTART+I+G       | 2               | -26993.004      | 53990.074        | 53990.008       | 53996.414      
JTT+I           | 1               | -27001.1        | 54004.223        | 54004.2         | 54007.402      
LG+I            | 1               | -27013.178      | 54028.38         | 54028.355       | 54031.56       
JTT             | 0               | -27034.8        | 54069.6          | 54069.6         | 54069.6        
JTT+I+F         | 20              | -27021.766      | 54088.75         | 54083.53        | 54147.613      
LG              | 0               | -27050.107      | 54100.215        | 54100.215       | 54100.215      
MTMAM+G         | 1               | -27071.389      | 54144.8          | 54144.777       | 54147.98       
MTMAM+I+G       | 2               | -27071.396      | 54146.86         | 54146.793       | 54153.2        
WAG+I           | 1               | -27083.418      | 54168.86         | 54168.836       | 54172.04       
VT+I            | 1               | -27085.508      | 54173.04         | 54173.016       | 54176.22       
JTT+F           | 19              | -27066.48       | 54175.652        | 54170.96        | 54231.836      
WAG             | 0               | -27123.055      | 54246.11         | 54246.11        | 54246.11       
VT              | 0               | -27124.043      | 54248.086        | 54248.086       | 54248.086      
LG+I+F          | 20              | -27165.541      | 54376.3          | 54371.082       | 54435.164      
VT+I+F          | 20              | -27186.523      | 54418.266        | 54413.047       | 54477.13       
LG+F            | 19              | -27211.416      | 54465.523        | 54460.832       | 54521.707      
VT+F            | 19              | -27232.273      | 54507.24         | 54502.547       | 54563.42       
WAG+I+F         | 20              | -27262.348      | 54569.914        | 54564.695       | 54628.777      
CPREV+I         | 1               | -27310.22       | 54622.465        | 54622.44        | 54625.645      
RTREV+I         | 1               | -27322.309      | 54646.64         | 54646.617       | 54649.82       
RTREV+I+F       | 20              | -27301.186      | 54647.59         | 54642.37        | 54706.453      
WAG+F           | 19              | -27312.383      | 54667.457        | 54662.766       | 54723.64       
DCMUT+I+F       | 20              | -27320.639      | 54686.496        | 54681.277       | 54745.36       
DAYHOFF+I+F     | 20              | -27321.293      | 54687.805        | 54682.586       | 54746.668      
BLOSUM62+I      | 1               | -27345.15       | 54692.324        | 54692.3         | 54695.504      
RTREV           | 0               | -27356.443      | 54712.887        | 54712.887       | 54712.887      
DAYHOFF+I       | 1               | -27365.31       | 54732.645        | 54732.62        | 54735.824      
DCMUT+I         | 1               | -27365.475      | 54732.973        | 54732.95        | 54736.152      
RTREV+F         | 19              | -27345.264      | 54733.22         | 54728.527       | 54789.402      
CPREV           | 0               | -27371.414      | 54742.83         | 54742.83        | 54742.83       
DCMUT+F         | 19              | -27357.266      | 54757.223        | 54752.53        | 54813.406      
DAYHOFF+F       | 19              | -27357.91       | 54758.51         | 54753.82        | 54814.695      
BLOSUM62        | 0               | -27384.71       | 54769.42         | 54769.42        | 54769.42       
DAYHOFF         | 0               | -27391.37       | 54782.74         | 54782.74        | 54782.74       
DCMUT           | 0               | -27391.568      | 54783.137        | 54783.137       | 54783.137      
BLOSUM62+I+F    | 20              | -27577.027      | 55199.273        | 55194.055       | 55258.137      
MTREV+I+F       | 20              | -27597.06       | 55239.34         | 55234.12        | 55298.203      
BLOSUM62+F      | 19              | -27624.26       | 55291.21         | 55286.52        | 55347.395      
MTREV+F         | 19              | -27647.426      | 55337.543        | 55332.85        | 55393.727      
CPREV+I+F       | 20              | -27704.06       | 55453.34         | 55448.12        | 55512.203      
HIVB+I          | 1               | -27773.984      | 55549.992        | 55549.97        | 55553.17       
CPREV+F         | 19              | -27774.62       | 55591.93         | 55587.24        | 55648.113      
HIVB+I+F        | 20              | -27810.186      | 55665.59         | 55660.37        | 55724.453      
HIVB            | 0               | -27834.25       | 55668.5          | 55668.5         | 55668.5        
HIVB+F          | 19              | -27876.223      | 55795.137        | 55790.445       | 55851.32       
MTART+I+F       | 20              | -28185.836      | 56416.89         | 56411.67        | 56475.754      
MTMAM+I+F       | 20              | -28203.127      | 56451.473        | 56446.254       | 56510.336      
MTART+F         | 19              | -28226.744      | 56496.18         | 56491.49        | 56552.363      
MTMAM+F         | 19              | -28239.275      | 56521.242        | 56516.55        | 56577.426      
HIVW+I+F        | 20              | -28638.363      | 57321.945        | 57316.727       | 57380.81       
HIVW+F          | 19              | -28717.717      | 57478.125        | 57473.434       | 57534.31       
MTREV+I         | 1               | -28796.352      | 57594.727        | 57594.703       | 57597.906      
MTREV           | 0               | -28834.254      | 57668.508        | 57668.508       | 57668.508      
HIVW+I          | 1               | -28886.781      | 57775.586        | 57775.562       | 57778.766      
HIVW            | 0               | -28953.395      | 57906.79         | 57906.79        | 57906.79       
MTART+I         | 1               | -29676.295      | 59354.613        | 59354.59        | 59357.793      
MTART           | 0               | -29706.893      | 59413.785        | 59413.785       | 59413.785      
MTMAM+I         | 1               | -29803.861      | 59609.746        | 59609.723       | 59612.926      
MTMAM           | 0               | -29828.176      | 59656.35         | 59656.35        | 59656.35       
